iter	Passed	Remaining
230	340	1426
231	343	1431
232	345	1432
233	346	1431
234	348	1431
235	350	1431
236	352	1431
237	354	1431
238	356	1431
239	357	1430
240	358	1427
241	360	1425
242	361	1423
243	362	1421
244	364	1419
245	365	1416
246	366	1414
247	367	1411
248	369	1412
249	371	1411
250	373	1411
251	374	1408
252	375	1406
253	377	1404
254	378	1403
255	379	1401
256	381	1399
257	382	1397
258	385	1399
259	387	1399
260	388	1398
261	390	1396
262	391	1395
263	393	1393
264	394	1391
265	395	1389
266	397	1388
267	399	1387
268	400	1387
269	402	1386
270	404	1385
271	405	1384
272	407	1384
273	409	1383
274	411	1382
275	412	1381
276	413	1378
277	415	1376
278	416	1374
279	417	1371
280	418	1369
281	420	1367
282	421	1365
283	422	1362
284	423	1360
285	425	1358
286	426	1356
287	427	1353
288	428	1351
289	430	1350
290	431	1347
291	432	1345
292	433	1343
293	435	1340
294	436	1338
295	437	1336
296	438	1334
297	440	1332
298	441	1330
299	442	1327
300	443	1325
301	445	1323
302	446	1321
303	447	1319
304	448	1317
305	450	1314
306	451	1313
307	452	1310
308	453	1308
309	455	1307
310	456	1305
311	458	1303
312	459	1301
313	460	1299
314	461	1297
315	462	1295
316	464	1292
317	465	1290
318	466	1288
319	467	1286
320	469	1284
321	470	1282
322	471	1281
323	473	1279
324	474	1278
325	476	1276
326	477	1274
327	478	1273
328	480	1271
329	481	1269
330	482	1268
331	484	1266
332	486	1266
333	488	1265
334	489	1264
335	491	1263
336	493	1262
337	494	1261
338	496	1260
339	497	1259
340	499	1258
341	501	1257
342	503	1257
343	504	1256
344	506	1255
345	508	1255
346	510	1254
347	512	1254
348	514	1253
349	515	1252
350	517	1251
351	518	1249
352	519	1247
353	521	1245
354	522	1243
355	523	1242
356	525	1240
357	526	1238
358	527	1236
359	529	1234
360	530	1232
361	531	1230
362	532	1228
363	533	1226
364	534	1223
365	536	1221
366	537	1219
367	538	1217
368	539	1215
369	541	1214
370	542	1213
371	544	1211
372	545	1209
373	546	1207
374	547	1205
375	549	1203
376	550	1201
377	551	1199
378	552	1197
379	554	1195
380	555	1193
381	556	1191
382	557	1189
383	558	1187
384	560	1185
385	561	1183
386	562	1181
387	563	1179
388	564	1177
389	566	1175
390	567	1173
391	568	1171
392	569	1170
393	570	1168
394	572	1166
395	573	1164
396	574	1161
397	575	1159
398	576	1157
399	577	1155
400	578	1153
401	580	1151
402	581	1149
403	582	1147
404	583	1145
405	584	1143
406	586	1141
407	587	1139
408	588	1137
409	589	1135
410	590	1133
411	591	1132
412	593	1130
413	594	1128
414	595	1126
415	596	1124
416	597	1122
417	598	1120
418	600	1118
419	601	1116
420	602	1114
421	603	1112
422	604	1110
423	605	1109
424	607	1106
425	608	1105
426	609	1103
427	610	1101
428	611	1099
429	612	1097
430	614	1095
431	615	1093
432	616	1092
433	617	1090
434	618	1088
435	620	1086
436	621	1085
437	622	1083
438	623	1081
439	625	1079
440	626	1078
441	627	1076
442	628	1074
443	630	1072
444	631	1071
445	632	1069
446	633	1067
447	634	1065
448	636	1063
449	637	1062
450	638	1060
451	639	1058
452	641	1057
453	642	1055
454	643	1054
455	644	1052
456	646	1050
457	647	1048
458	648	1047
459	649	1045
460	651	1043
461	652	1042
462	653	1040
463	655	1038
464	656	1037
465	657	1035
466	658	1033
467	659	1032
468	661	1030
469	662	1028
470	663	1026
471	664	1025
472	665	1023
473	666	1021
474	668	1020
475	669	1018
476	670	1016
477	672	1015
478	673	1013
479	674	1011
480	675	1009
481	676	1008
482	678	1006
483	679	1004
484	680	1003
485	681	1001
486	682	999
487	684	998
488	685	996
489	686	994
490	687	992
491	688	991
492	690	989
493	691	987
494	692	986
495	693	984
496	694	982
497	695	981
498	697	979
499	698	978
500	700	977
501	701	975
502	702	973
503	703	971
504	704	969
505	705	968
506	707	966
507	708	964
508	709	963
509	710	961
510	712	960
511	713	958
512	714	956
513	715	955
514	716	953
515	718	951
516	719	950
517	720	948
518	721	946
519	722	944
520	723	943
521	725	941
522	726	940
523	727	938
524	728	936
525	729	935
526	731	933
527	732	932
528	733	930
529	734	928
530	736	927
531	737	925
532	738	923
533	739	922
534	740	921
535	742	919
536	743	917
537	744	916
538	745	914
539	746	912
540	748	911
541	749	909
542	750	908
543	751	906
544	752	904
545	754	903
546	755	901
547	756	900
548	757	898
549	758	896
550	760	895
551	761	893
552	762	892
553	763	890
554	764	888
555	766	887
556	767	885
557	768	884
558	770	883
559	771	881
560	772	880
561	773	878
562	775	876
563	776	875
564	777	873
565	778	872
566	779	870
567	780	868
568	782	867
569	783	866
570	785	864
571	786	863
572	787	861
573	788	859
574	789	858
575	790	856
576	792	855
577	793	853
578	794	852
579	795	850
580	797	849
581	798	847
582	799	846
583	800	844
584	801	842
585	802	841
586	803	839
587	805	838
588	806	836
589	807	834
590	808	833
591	809	831
592	811	830
593	812	828
594	813	827
595	814	825
596	815	824
597	817	822
598	818	820
599	819	819
600	820	818
601	822	816
602	823	815
603	824	813
604	825	812
605	826	810
606	828	809
607	829	807
608	830	805
609	831	804
610	832	802
611	834	801
612	835	799
613	836	798
614	837	796
615	839	795
616	840	794
617	841	792
618	842	790
619	843	789
620	845	787
621	846	786
622	847	784
623	848	783
624	849	781
625	851	780
626	852	778
627	853	777
628	854	776
629	856	774
630	857	772
631	858	771
632	859	769
633	860	768
634	861	766
635	863	765
636	864	763
637	865	762
638	866	760
639	867	759
640	869	758
641	870	756
642	871	754
643	872	753
644	873	751
645	875	750
646	876	748
647	877	747
648	878	745
649	879	744
650	881	742
651	882	741
652	883	739
653	884	738
654	885	736
655	886	735
656	888	734
657	889	732
658	890	731
659	891	729
660	893	728
661	894	727
662	896	725
663	897	724
664	898	722
665	899	721
666	900	719
667	901	718
668	903	716
669	904	715
670	905	713
671	906	712
672	907	710
673	909	709
674	910	708
675	911	706
676	912	705
677	913	703
678	915	702
679	916	700
680	917	699
681	918	697
682	919	696
683	921	694
684	922	693
685	923	691
686	924	690
687	925	689
688	927	687
689	928	686
690	929	684
691	930	683
692	932	681
693	933	680
694	934	679
695	936	677
696	937	676
697	938	675
698	939	673
699	940	672
700	942	670
701	943	669
702	944	667
703	945	666
704	946	664
705	948	663
706	949	662
707	950	660
708	951	659
709	953	657
710	954	656
711	955	654
712	956	653
713	957	651
714	958	650
715	960	648
716	961	647
717	962	645
718	963	644
719	964	643
720	965	641
721	967	640
722	968	638
723	969	637
724	970	635
725	971	634
726	972	632
727	974	631
728	975	630
729	976	628
730	977	627
731	979	625
732	980	624
733	981	623
734	982	621
735	983	620
736	984	618
737	986	617
738	987	615
739	988	614
740	989	612
741	990	611
742	991	610
743	993	608
744	994	607
745	995	605
746	996	604
747	997	603
748	999	601
749	1000	600
750	1001	598
751	1002	597
752	1003	595
753	1004	594
754	1006	593
755	1007	591
756	1008	590
757	1009	588
758	1011	587
759	1012	585
760	1013	584
761	1014	583
762	1015	581
763	1016	580
764	1017	578
765	1019	577
766	1021	576
767	1023	575
768	1025	574
769	1026	573
770	1028	572
771	1030	571
772	1031	569
773	1032	568
774	1034	567
775	1036	566
776	1037	565
777	1039	563
778	1040	562
779	1042	561
780	1043	559
781	1044	558
782	1046	557
783	1047	555
784	1049	554
785	1050	553
786	1052	552
787	1053	550
788	1055	549
789	1056	548
790	1057	547
791	1059	545
792	1060	544
793	1062	543
794	1063	541
795	1064	540
796	1065	538
797	1067	537
798	1068	536
799	1069	534
800	1070	533
801	1072	532
802	1073	530
803	1074	529
804	1075	527
805	1076	526
806	1078	525
807	1079	523
808	1080	522
809	1081	520
810	1083	519
811	1084	518
812	1085	516
813	1086	515
814	1087	513
815	1089	512
816	1090	511
817	1092	510
818	1093	508
819	1094	507
820	1097	506
821	1099	505
822	1102	504
823	1104	503
824	1106	502
825	1108	501
826	1109	500
827	1113	500
828	1116	499
829	1118	498
830	1120	497
831	1121	496
832	1123	495
833	1125	494
834	1127	492
835	1129	491
836	1131	490
837	1134	490
838	1137	489
839	1139	488
840	1141	487
841	1143	486
842	1144	484
843	1146	483
844	1148	482
845	1150	481
846	1152	480
847	1153	478
848	1155	477
849	1156	476
850	1157	474
851	1159	473
852	1160	472
853	1162	470
854	1163	469
855	1164	468
856	1166	466
857	1167	465
858	1168	463
859	1169	462
860	1171	461
861	1172	459
862	1173	458
863	1175	457
864	1176	455
865	1177	454
866	1179	452
867	1180	451
868	1181	450
869	1183	448
870	1184	447
871	1185	446
872	1187	444
873	1188	443
874	1189	441
875	1190	440
876	1192	439
877	1193	437
878	1194	436
879	1196	435
880	1197	433
881	1198	432
882	1199	430
883	1201	429
884	1202	427
885	1203	426
886	1204	425
887	1205	423
888	1207	422
889	1208	420
890	1209	419
891	1211	418
892	1212	416
893	1213	415
894	1214	414
895	1216	412
896	1217	411
897	1218	409
898	1219	408
899	1221	407
900	1222	405
901	1223	404
902	1225	402
903	1226	401
904	1227	400
905	1228	398
906	1230	397
907	1231	395
908	1232	394
909	1233	393
910	1234	391
911	1236	390
912	1237	388
913	1238	387
914	1239	386
915	1241	384
916	1242	383
917	1243	382
918	1244	380
919	1245	379
920	1247	377
921	1248	376
922	1249	375
923	1250	373
924	1252	372
925	1253	370
926	1254	369
927	1255	368
928	1257	366
929	1258	365
930	1259	363
931	1260	362
932	1261	361
933	1263	359
934	1264	358
935	1265	356
936	1267	355
937	1268	354
938	1269	352
939	1271	351
940	1272	350
941	1273	348
942	1275	347
943	1276	346
944	1277	344
945	1278	343
946	1280	342
947	1281	340
948	1283	339
949	1285	338
950	1287	336
951	1288	335
952	1290	334
953	1292	333
954	1293	331
955	1295	330
956	1297	329
957	1300	328
958	1302	327
959	1305	326
960	1307	325
961	1309	324
962	1312	323
963	1315	322
964	1318	321
965	1320	319
966	1322	318
967	1324	317
968	1327	316
969	1329	315
970	1331	314
971	1333	312
972	1335	311
973	1337	310
974	1339	309
975	1342	308
976	1344	306
977	1346	305
978	1348	304
979	1350	303
980	1352	301
981	1354	300
982	1356	299
983	1357	298
984	1359	296
985	1360	295
986	1362	294
987	1364	292
988	1365	291
989	1367	290
990	1368	288
991	1369	287
992	1371	285
993	1372	284
994	1374	283
995	1375	281
996	1376	280
997	1378	278
998	1379	277
999	1380	276
1000	1382	274
1001	1383	273
1002	1384	271
1003	1385	270
1004	1387	269
1005	1388	267
1006	1389	266
1007	1390	264
1008	1392	263
1009	1393	262
1010	1394	260
1011	1395	259
1012	1397	257
1013	1398	256
1014	1399	255
1015	1400	253
1016	1402	252
1017	1403	250
1018	1404	249
1019	1405	248
1020	1407	246
1021	1408	245
1022	1409	243
1023	1410	242
1024	1412	241
1025	1413	239
1026	1415	238
1027	1416	236
1028	1417	235
1029	1418	234
1030	1419	232
1031	1421	231
1032	1422	229
1033	1423	228
1034	1424	227
1035	1426	225
1036	1427	224
1037	1428	222
1038	1430	221
1039	1431	220
1040	1432	218
1041	1433	217
1042	1434	215
1043	1436	214
1044	1437	213
1045	1438	211
1046	1439	210
1047	1441	209
1048	1442	207
1049	1444	206
1050	1445	204
1051	1447	203
1052	1448	202
1053	1450	200
1054	1451	199
1055	1452	198
1056	1453	196
1057	1455	195
1058	1456	193
1059	1458	192
1060	1459	191
1061	1461	189
1062	1463	188
1063	1464	187
1064	1466	185
1065	1468	184
1066	1471	183
1067	1472	182
1068	1474	180
1069	1476	179
1070	1478	178
1071	1479	176
1072	1481	175
1073	1482	173
1074	1484	172
1075	1486	171
1076	1487	169
1077	1489	168
1078	1490	167
1079	1492	165
1080	1493	164
1081	1494	163
1082	1496	161
1083	1497	160
1084	1499	158
1085	1500	157
1086	1501	156
1087	1503	154
1088	1504	153
1089	1505	151
1090	1506	150
1091	1508	149
1092	1509	147
1093	1510	146
1094	1511	144
1095	1513	143
1096	1514	142
1097	1515	140
1098	1516	139
1099	1518	138
1100	1519	136
1101	1520	135
1102	1521	133
1103	1522	132
1104	1524	131
1105	1525	129
1106	1526	128
1107	1527	126
1108	1528	125
1109	1530	124
1110	1531	122
1111	1532	121
1112	1533	119
1113	1534	118
1114	1535	117
1115	1537	115
1116	1538	114
1117	1539	112
1118	1540	111
1119	1541	110
1120	1543	108
1121	1544	107
1122	1546	106
1123	1547	104
1124	1548	103
1125	1549	101
1126	1551	100
1127	1552	99
1128	1553	97
1129	1554	96
1130	1556	94
1131	1558	93
1132	1559	92
1133	1560	90
1134	1561	89
1135	1563	88
1136	1564	86
1137	1565	85
1138	1566	83
1139	1567	82
1140	1568	81
1141	1570	79
1142	1571	78
1143	1572	76
1144	1573	75
1145	1575	74
1146	1576	72
1147	1577	71
1148	1578	70
1149	1579	68
1150	1581	67
1151	1582	65
1152	1583	64
1153	1584	63
1154	1586	61
1155	1587	60
1156	1588	59
1157	1589	57
1158	1591	56
1159	1592	54
1160	1593	53
1161	1594	52
1162	1596	50
1163	1597	49
1164	1598	48
1165	1599	46
1166	1601	45
1167	1602	43
1168	1603	42
1169	1605	41
1170	1606	39
1171	1607	38
1172	1608	37
1173	1610	35
1174	1611	34
1175	1612	32
1176	1613	31
1177	1615	30
1178	1616	28
1179	1617	27
1180	1618	26
1181	1620	24
1182	1621	23
1183	1622	21
1184	1623	20
1185	1625	19
1186	1626	17
1187	1627	16
1188	1629	15
1189	1630	13
1190	1631	12
1191	1632	10
1192	1634	9
1193	1635	8
1194	1636	6
1195	1637	5
1196	1638	4
1197	1640	2
1198	1641	1
1199	1642	0
