iter	RMSE
0	106.8310508
1	105.2787947
2	103.7922584
3	102.4123388
4	101.0640334
5	99.64805067
6	98.37862128
7	97.16579907
8	95.86228756
9	94.6345694
10	93.57376671
11	92.4606784
12	91.29718174
13	90.22298453
14	89.05013077
15	87.9518374
16	86.92074338
17	85.89303772
18	84.89173376
19	83.7627863
20	82.82658693
21	81.80937418
22	80.82197727
23	79.89825205
24	78.93836436
25	77.9680991
26	76.9835034
27	76.05836615
28	75.23913031
29	74.42276649
30	73.77419554
31	73.02156666
32	72.18266925
33	71.47225695
34	70.67789284
35	69.94358965
36	69.14824262
37	68.45510958
38	67.78764609
39	67.11923726
40	66.4744666
41	65.76034073
42	65.15029342
43	64.51003161
44	63.82296889
45	63.1809312
46	62.53502305
47	61.90331882
48	61.36137411
49	60.75935074
50	60.26891555
51	59.78270125
52	59.24289299
53	58.77227866
54	58.22103444
55	57.7147895
56	57.19545025
57	56.70506182
58	56.30641002
59	55.81720002
60	55.43703955
61	54.9970389
62	54.68599145
63	54.29857274
64	53.90321844
65	53.47872525
66	53.03564457
67	52.72014178
68	52.34243647
69	51.98414466
70	51.64816826
71	51.30186108
72	50.97016457
73	50.60785147
74	50.32092523
75	50.0245747
76	49.72347691
77	49.44747945
78	49.13366818
79	48.81149405
80	48.50674798
81	48.21291935
82	47.92279611
83	47.67514618
84	47.39547651
85	47.16379413
86	46.95279499
87	46.70023685
88	46.45432998
89	46.20031837
90	45.96380126
91	45.76202791
92	45.5571855
93	45.33302524
94	45.1418947
95	44.91993344
96	44.72020669
97	44.51528156
98	44.34729692
99	44.14749083
100	43.95367328
101	43.78194691
102	43.63317899
103	43.48597801
104	43.35635334
105	43.17784984
106	43.01047519
107	42.84558877
108	42.68714406
109	42.53172642
110	42.38964052
111	42.24620701
112	42.12741282
113	42.01997491
114	41.87504968
115	41.72363087
116	41.57899147
117	41.47500565
118	41.36324448
119	41.23783175
120	41.13381964
121	41.00880531
122	40.9086945
123	40.77991361
124	40.663821
125	40.55791796
126	40.48225706
127	40.39170332
128	40.30158288
129	40.21814195
130	40.1382246
131	40.03057456
132	39.94364898
133	39.84597033
134	39.76431589
135	39.683246
136	39.63908502
137	39.56332238
138	39.50576234
139	39.44158883
140	39.3611662
141	39.30601411
142	39.23180641
143	39.1556595
144	39.09212484
145	39.03365329
146	38.98798543
147	38.93865025
148	38.86282968
149	38.78962564
150	38.75312845
151	38.68921291
152	38.62826535
153	38.56506474
154	38.5107474
155	38.45538258
156	38.4221475
157	38.37941776
158	38.33703504
159	38.30100489
160	38.26119798
161	38.20100047
162	38.16284358
163	38.12041956
164	38.06942263
165	38.03347299
166	37.99547371
167	37.96086673
168	37.91768899
169	37.87188527
170	37.8407732
171	37.80150871
172	37.75822329
173	37.70320411
174	37.65729963
175	37.63357234
176	37.59071393
177	37.56247418
178	37.53387813
179	37.50126322
180	37.47699108
181	37.43673334
182	37.40457081
183	37.36098399
184	37.33063531
185	37.30792334
186	37.26892663
187	37.24881668
188	37.21365509
189	37.17947052
190	37.14857439
191	37.12329368
192	37.09634724
193	37.07203985
194	37.04595872
195	37.02628787
196	37.00270376
197	36.98371607
198	36.94716271
199	36.926925
200	36.90651159
201	36.87561466
202	36.85880483
203	36.84418759
204	36.81745682
205	36.79418801
206	36.77184614
207	36.74986992
208	36.71944083
209	36.69771637
210	36.67534574
211	36.65712723
212	36.64335814
213	36.61591339
214	36.59713285
215	36.56972667
216	36.54645199
217	36.52901314
218	36.50867006
219	36.49640077
220	36.47231877
221	36.45382201
222	36.44030485
223	36.43312847
